SpotID,Paths,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
,,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PCS_PTSD,PTSD,PTSD,PTSD,PTSD,PTSD,PTSD,PTSD,PTSD,PTSD,PTSD,PTSD,PTSD,PTSD,PTSD,PTSD,PTSD,PTSD,PTSD,PTSD,PTSD,PTSD,PTSD,PTSD,PTSD,PTSD,PTSD,PTSD
1,"'7,3'",0.634500122,0.693178185,0.813606086,0.786854506,0.780944528,0.769363269,0.690408876,0.776708465,0.81252499,0.7856054,0.808924365,0.821624601,0.759994199,0.628588443,0.787189644,0.873188004,0.833323337,0.495149724,0.55304933,0.675460604,0.694332159,0.808775331,0.8064079,0.725684416,0.740018834,0.794183662,0.833260502,0.783962899,0.841252928,0.849073886,0.745457038,0.757672661,0.797741403,0.806757248,0.731218875,0.883547041,0.761135152,0.801488526,0.776409685,0.727374498,0.718032055,0.729328174,0.78719252,0.808672935,0.704300058,0.717639271,0.712332441,0.729317831,0.747328808,0.789183281,0.794486111,0.680050018,0.71724056,0.905994274,0.914754665,0.664439852,0.728051534,0.733228958,0.834125558,0.483952809,0.77357051,0.757792683,0.692648827,0.514434395,0.509899619,0.642537068,0.664465476,0.664650171,0.681792519,0.78351064,0.036536316,0.055218597,0.814342379,0.826615786,0.7667045,0.823699845,0.800902502,0.653275674,0.656551668,0.789723948,0.768720716,0.727184626,0.897011448,0.819517542,0.633297904,0.662182412,0.700562276,0.625235741,0.77156696,0.802596031,0.706997753,0.35368696,0.909365723,0.891078371,0.371478503,0.3728586,0.271696184,0.752974284,0.715609382,0.799825744,0.822650526,0.616368167,0.642867102,0.838747262,0.847683352,0.678030998,0.677196102,0.300656719,0.300345961,0.716775036,0.717368149,0.676422692,0.741394237,0.763685068,0.88212542,0.864717656,0.848117696,0.838642618,0.746005773,0.755467377,0.772423533,0.608816379,0.613839598,0.707656881,0.658514412,0.70125067,0.706898899,0.674457292,0.645219113,0.789343361,0.871002488,0.866974226,0.86300145,0.820644607,0.589532187,0.640039794,0.733844707,0.55752578,0.807614583
2,"'12,10'",0.040247757,0.177114248,0.510911148,0.539730566,-0.086844319,0.335560922,0.598798374,0.526752779,0.583000935,0.579966458,0.566546014,0.591029197,0.332520186,0.300852014,-0.081213576,0.382049438,0.559789437,0.075429111,0.104535927,-0.076067281,0.0068448,0.294687506,0.250219129,0.396278664,0.496606778,-0.086926138,-0.114634909,0.332877424,0.264483316,0.501318853,0.202900726,0.388138047,0.337362754,0.424861094,0.327367994,-0.297618638,0.353421577,0.336268418,0.256245041,0.269353903,0.230833838,0.107747657,0.023995112,-0.01819799,0.037405591,0.166448216,-0.030730408,-0.194608927,-0.247241041,0.368991586,0.354829571,0.155908135,0.293306139,0.13441039,-0.032975943,0.501679021,0.507711374,0.418680219,0.192275864,0.523535714,0.243811634,0.284391208,0.032137085,0.21179706,0.258290234,0.281806054,0.100573018,0.415370692,0.510622858,-0.015305403,0.205923471,0.297969438,0.343908236,0.455819147,0.148029131,0.183706646,0.163853682,0.310737452,0.265134124,0.410518244,0.076673919,0.125318864,0.274956856,0.483404069,0.33863445,0.310616236,-0.074424152,-0.003682126,0.15471131,0.181853867,0.553977554,0.14207913,0.325884283,0.396081957,0.539940591,-0.012157513,0.187539393,0.333443849,0.253727741,-0.210921208,0.0830318,0.058411958,0.189651,0.276516546,0.40803282,0.035762724,0.087683166,-0.094610963,-0.096032271,-0.01086715,-0.00897659,0.034909523,0.213535069,0.373242558,0.459023581,0.306513646,0.098014763,0.200758215,-0.168711431,0.047310298,-0.070387969,0.293597255,0.36419106,-0.311171166,0.05559393,0.005902272,0.079787319,0.032252478,0.112019288,0.173383939,-0.120356025,-0.053105662,-0.016055152,0.018250242,-0.099010916,0.055216509,0.158588669,-0.117239326,0.367645402
3,"'14,7'",-0.124132483,-0.03335924,-0.163050672,-0.200910898,-0.376769046,-0.23261622,-0.397714419,-0.312570193,-0.36888958,-0.297444884,-0.208709513,-0.200626163,-0.155473014,-0.484070657,-0.414612828,-0.555524899,-0.539633842,-0.249244926,-0.251866184,-0.314998316,-0.273196889,-0.370296891,-0.378734949,-0.261460962,-0.283157174,-0.258645407,-0.261518318,-0.046555916,-0.23627496,-0.290560781,0.072109693,0.023893162,-0.285454872,-0.249470971,-0.252966584,-0.701760522,-0.18886803,-0.340137036,-0.328873291,-0.366315868,-0.50726453,-0.513235416,-0.0297092,-0.293105188,-0.300847921,-0.121846376,-0.113773079,-0.464557428,-0.415585858,-0.269197781,-0.354642527,-0.280822351,-0.216532165,-0.180250072,-0.032315114,-0.233296244,-0.373545014,-0.403042664,-0.370516762,-0.468244985,-0.500480347,-0.526174825,-0.340744748,-0.278705255,-0.331867976,-0.165993109,0.031731415,-0.181743423,-0.175592184,-0.228601789,0.387813336,0.214554687,-0.347663577,-0.345092857,-0.334925812,-0.471921598,-0.479952834,-0.234822336,-0.250757691,-0.281473631,0.153000746,-0.053491634,0.045771257,-0.103285403,-0.15404601,-0.125882232,-0.051667792,-0.070388476,-0.349013812,-0.241556729,-0.113583602,-0.051368331,-0.136493005,-0.125969046,-0.546920318,-0.0185834,0.111736747,-0.081353574,-0.213211447,0.148387217,0.116167421,-0.276636101,-0.265766915,-0.275143123,-0.114284864,-0.204688908,-0.17038059,-0.368373235,-0.368323346,-0.353093662,-0.349185971,-0.182090957,-0.389355734,-0.4627058,-0.622173556,-0.625628359,-0.411819254,-0.455331705,-0.455658004,-0.205343482,-0.192984519,0.04844279,-0.120637127,-0.438715931,-0.431899479,-0.192632875,-0.274056743,-0.479702795,-0.450913126,-0.248306909,-0.445698277,-0.350650269,-0.452717548,-0.251217721,-0.25160215,-0.19162574,-0.153548058,-0.367530401,-0.082006442
4,"'15,13'",0.01591319,0.045934904,-0.179468703,-0.077493847,-0.154597922,-0.155742148,-0.023779129,0.011771388,0.114137121,0.095525554,0.112254135,0.164061107,0.231885943,-0.060219112,-0.109417895,-0.03673916,-0.090136206,0.08474279,0.179114019,0.160970097,0.134675605,-0.006754846,0.013914789,-0.13684324,0.007133998,-0.046569205,-0.031650111,-0.179526502,-0.143033037,-0.215750688,-0.387015505,-0.467984418,-0.19956212,-0.183529684,0.016193087,0.390372599,-0.149890952,-0.035738593,-0.014774286,0.232322289,-0.177967973,0.0509554,-0.093189105,0.034653985,-0.219590139,-0.143644142,-0.226939493,-0.025868441,0.046338176,0.014230435,0.081510987,0.164785787,0.258582246,0.189115076,0.088621577,-0.165296659,-0.04772552,0.030422278,0.126133303,-0.014297997,0.094675775,-0.033251568,0.268937736,-0.014031449,-0.04365521,0.286375435,0.152464855,-0.147326102,-0.063637266,0.145925362,0.164665116,-0.122560703,0.037827333,0.081830152,-0.052915732,0.187623711,0.210768698,0.04470545,0.015370817,-0.155362708,0.210810204,0.069139625,0.007463258,-0.204689717,0.047965342,-0.013837146,-0.014148751,-0.044115011,-0.344585743,-0.161500338,0.144826254,0.191745308,0.144718922,0.105515357,-0.136293817,0.057668076,0.287949107,0.216366799,0.086470413,-0.292549351,-0.353408012,0.060016735,-0.197083501,0.122780358,0.119198612,0.138790206,0.071890002,0.087634277,0.088367471,0.048801284,0.04795337,0.160410325,0.073465749,0.224005701,-0.193560763,-0.305157499,-0.293108576,-0.313227768,0.089586581,0.174833885,0.174685484,-0.035038479,0.078285663,-0.0437875,0.076386981,-0.352635137,-0.268684925,-0.209957944,-0.177997869,-0.119695468,0.073360207,0.019711714,-0.231020844,-0.232489205,-0.140763807,-0.212975265,-0.41961454,-0.104299632,-0.321116785
5,"'16,10'",-0.076297328,-0.068064456,-0.046639269,-0.056617662,-0.034252263,-0.2997914,-0.279763478,-0.085203779,0.125262648,-0.069647856,-0.175475105,-0.198873058,-0.092288721,-0.095151851,0.002306554,-0.37113634,-0.499441843,0.028238097,0.065209341,-0.127787088,0.072776715,-0.349748051,-0.284117554,-0.303122272,0.098695626,-0.311097137,-0.227234315,0.092695379,0.17889554,0.198097521,0.130104241,0.042593774,0.345191349,0.335553086,-0.132378774,0.092537913,0.103016446,-0.123268599,-0.350120078,-0.096149117,0.022439726,0.211697158,-0.102618694,-0.016343009,0.033190003,-0.253713159,-0.122001856,0.231010212,0.290053753,0.004806262,-0.12720418,-0.25377103,-0.096586638,0.179208615,0.469155575,-0.100186985,-0.137691423,0.035796011,0.161759143,-0.3269913,0.007984857,-0.051269553,-0.447747395,0.001555882,-0.05666811,-0.09195946,0.110848919,-0.002551941,0.019627868,-0.384404099,0.636649681,0.4167788,-0.23947869,-0.226080688,-0.342006804,-0.090368808,-0.103872178,0.048783697,0.094762169,0.250774611,0.190914927,0.11175148,0.180935067,-0.107712159,-0.171656302,-0.044752989,0.29053787,0.193708762,-0.089262124,-0.022026617,0.236850218,-0.059375439,0.220548096,0.267865348,-0.363773735,0.139054463,-0.02080089,-0.063036929,-0.127339539,-0.038123855,0.080262113,-0.00863413,-0.152208142,0.119943754,0.390523279,-0.038323881,0.109954025,0.159512976,0.159111026,0.039235856,0.042469161,0.00673791,-0.269042305,-0.289344811,-0.629296808,-0.552674006,-0.240411712,-0.307916949,-0.083631604,-0.005773053,0.024339102,-0.006752329,-0.205908992,0.059909793,-0.045579941,-0.191341954,-0.23000701,-0.127851742,-0.118448074,-0.051622354,0.056912631,0.092352215,-0.081748007,-0.031766396,-0.057579004,-0.171362118,-0.059590745,-0.040757911,-0.089397213
6,"'17,13'",0.177880029,0.037991708,-0.104351945,-0.173015305,-0.055638794,0.142953583,-0.233722652,-0.278332695,-0.112639882,-0.100326581,-0.08540707,0.334438405,0.231142964,-0.256573955,0.105464846,-0.144047952,-0.033399301,0.539701911,0.453393488,0.046040817,-0.012585247,-0.197389334,-0.247856387,-0.065318206,-0.275829623,0.116240916,0.078467878,-0.048519872,-0.023057709,0.089155575,0.148933972,0.044775832,0.195724971,0.106316105,-0.154509917,0.025417967,-0.119638708,0.032733945,0.063701838,0.205209059,0.197430438,0.235949059,-0.22279597,-0.278773302,-0.12725621,-0.180740716,-0.211352334,-0.138101934,0.006985456,0.145824303,-0.097838023,-0.127231135,-0.140460229,-0.243608329,-0.338971426,0.198234064,0.094901012,-0.051370274,0.04604492,-0.137526629,-0.062907364,0.063306145,-0.101188654,-0.024966455,0.004914465,-0.436740513,-0.150735834,0.16434738,0.072704315,-0.314012082,-0.013707132,0.059137295,-0.167795562,-0.143690868,-0.004922922,-0.067460986,-0.058631128,0.105813902,0.025011896,-0.18894083,-0.2383134,-0.165860175,-0.178427134,-0.018876249,-0.168126247,-0.236070065,-0.311003605,-0.157003757,0.184190448,0.152967202,-0.326759862,-0.182298298,0.006464407,-0.051531734,0.205918611,0.059620652,0.003154304,-0.381243953,-0.295621619,-0.219260114,-0.124290651,0.185551015,0.147479695,-0.266641876,-0.16341872,-0.186942721,-0.215329293,0.213990194,0.213597511,-0.423883611,-0.423559827,-0.102280412,-0.320467695,-0.150331539,-0.020683321,0.112898914,0.157718559,0.016745121,-0.095496753,-0.17252399,0.053846014,-0.120242034,-0.180770005,-0.387142065,-0.458163004,0.069899629,0.076221418,-0.137574174,-0.132236434,0.0543493,-0.196406655,-0.115576117,-0.31383397,-0.376623261,-0.351924867,-0.199415642,-0.152887365,0.015973762,-0.020789134
7,"'19,5'",0.660559023,0.654072723,0.547476323,0.595295244,0.597149879,0.340660256,0.407972303,0.49378115,0.58120492,0.566161281,0.487503147,0.613352427,0.328054522,0.726862689,0.489074267,0.620967798,0.629431988,0.361818683,0.544596866,0.315567187,0.382103351,0.575627443,0.581477508,0.646850393,0.67884295,0.732255749,0.554338522,0.592809253,0.576322517,0.644976746,0.668132247,0.721223904,0.576082182,0.555154611,0.624055628,0.677437519,0.681210538,0.666937799,0.657988963,0.476906393,0.639973348,0.498941795,0.605459858,0.084832515,0.183860267,0.538593791,0.481598513,0.606768877,0.596509306,0.371902438,0.346797806,0.550114771,0.454315198,0.366072272,0.402815479,0.506460929,0.381035216,0.430902338,0.513823907,0.669347566,0.332458519,0.34993382,0.524144718,0.398056413,0.47312708,0.474912898,0.513305777,-0.015890028,0.037662151,0.395814242,0.288865407,0.314151432,0.494353371,0.493223854,0.4510076,0.769317083,0.791103339,0.534712729,0.49014317,0.374546582,0.63896366,0.613135301,0.50238319,0.480698974,0.425879061,0.450268442,0.075265309,0.246304821,0.587484391,0.496452173,0.249551422,0.540384372,0.40107649,0.463568754,0.508607696,0.227908735,0.305723162,0.504335347,0.534753443,0.593978609,0.609572473,0.290650386,0.354218092,0.258746414,0.283211255,0.385718282,0.35126588,0.525661973,0.526887091,0.407533712,0.406052146,0.54607596,0.574788431,0.535620154,0.72414059,0.708838355,0.596297467,0.569145648,0.350235459,0.544697669,0.399756373,0.552909198,0.604108092,0.064743666,0.077615997,0.595266439,0.574908956,0.458968345,0.469582592,0.722190038,0.380224195,0.4544321,0.564123773,0.610708132,0.519597964,0.510199338,0.518367751,0.445809414,0.701325024
8,"'19,9'",0.662783437,0.708632869,0.305571721,0.193215074,0.281571626,0.218679446,0.360027395,0.355590811,0.097167599,0.186428078,0.07203576,0.006241947,0.20332005,0.100727221,-0.124900913,0.452607076,0.480286512,0.029704841,0.009960461,0.249156422,0.199733069,-0.110188586,-0.024218185,0.218521397,0.290888559,0.578545579,0.402563295,0.168943414,0.108094664,0.227328457,0.033890613,-0.080214897,0.344723831,0.366462068,0.192070825,0.469942831,0.559838525,0.222610826,0.235986572,0.220359734,-0.008565401,0.089293474,0.181868617,0.497744095,0.457679073,0.324039732,0.178460543,0.134217022,0.036121809,0.41701332,0.59077065,0.205600806,0.247460973,0.218494498,0.209441125,0.06894936,0.208997196,0.154598414,0.375298667,0.259328044,-0.240137394,-0.183589881,0.44073328,-0.089538787,0.038996411,-0.125944994,-0.025593678,0.139523401,0.302354947,0.022731839,-0.057875071,-0.041462423,0.424729216,0.399836948,-0.037555208,0.196656333,0.166013642,0.099823048,0.012407279,-0.332775785,0.220312,0.099564439,-0.015969067,-0.063212005,0.241360208,0.16161272,0.085475252,0.228975788,0.260148743,0.057664595,0.066804291,0.039790686,0.123410008,0.162654109,-0.029156018,0.053350829,0.092657879,0.05603453,0.171550774,0.207440097,0.194705741,0.072045729,0.050571405,0.013796336,-0.091338332,0.255942127,0.225303271,0.312015499,0.309363403,-0.069456429,-0.069695698,0.227267445,0.510082692,0.565434406,0.055912247,0.145141292,0.170543903,0.029065794,0.375520456,0.271329405,0.168596847,0.592650846,0.63487967,-0.238743904,-0.382755825,0.382312034,0.318947753,0.17295418,0.083502016,0.378411469,0.008162111,-0.065516476,0.412862716,0.506820836,0.283053471,0.322344709,0.443256363,0.209983531,0.060271238
9,"'19,16'",-0.120659069,-0.111098011,-0.488731245,-0.31902343,0.156339235,0.201311462,-0.17644189,-0.098072836,0.204273777,0.064287478,0.100008804,0.263271273,-0.100319301,-0.308339853,-0.105117056,-0.010913201,-0.008871969,-0.250517769,-0.258495777,-0.182672379,-0.203564048,-0.373896521,-0.355126591,0.089146403,-0.043967131,0.189161728,-0.140673891,-0.359529586,-0.303281177,-0.320506961,-0.138540712,0.023119044,-0.06559459,0.092843376,-0.100887387,-0.210172312,-0.097236361,-0.371592639,-0.226929556,-0.10475148,-0.22620146,-0.483828982,-0.003699889,0.0721599,0.087557981,0.050685453,-0.065298088,-0.090996081,-0.169581554,0.149970009,0.163967297,-0.009147995,-0.006467301,0.156859744,0.2810446,-0.161786144,-0.050779351,-0.02330213,-0.117344877,-0.03870609,-0.106520209,-0.115154481,-0.000442833,-0.227136722,-0.206719629,0.096603178,-0.103811763,0.134840428,0.00161517,-0.011835789,-0.081448142,0.127260514,0.353673466,0.345500723,-0.005378669,-0.135955411,-0.139041643,-0.03625332,-0.008672738,0.055553651,-0.468897395,-0.274973234,0.052930456,-0.125520817,0.016981129,-0.076995661,0.074645961,0.047927456,-0.192147077,0.087502699,-0.025762008,-0.3405608,-0.041344854,0.009571192,-0.175754056,-0.078527756,-0.152769691,0.137498029,0.143966294,-0.13788115,-0.164344425,-0.233249537,-0.249518182,0.044637798,-0.119351506,-0.06727025,-0.093029991,-0.138133399,-0.139075355,-0.031935948,-0.029417132,0.101040003,-0.060989913,-0.103491857,-0.440658157,-0.297156134,-0.245061626,-0.306093695,0.216510604,-0.191607971,-0.361020906,-0.099534099,-0.069893211,-0.070350029,-0.106338444,-0.130997852,-0.127013729,-0.158244522,-0.09319111,-0.138033231,-0.079209839,-0.226137602,-0.181676415,-0.239399296,-0.308518887,-0.138341831,0.323212353,-0.239376766,-0.218177579
